PdmarticleID;ExternalKey;Product level;Product name;Marketing range;Marketing item group;ParentID;Label;ERP code;Shortname;StateID;show_in_2024
10742;SEGMENT;Segment;;;;0;Segment;;;;no
20046;IAC000000000000000;Product family;Not relevant;Not relevant;Not relevant;10742;Accessories;;;;no
799168;LAC000000000000000;Product family;Not relevant;Not relevant;Not relevant;10742;Accessories;;;Product Workflow 2.0 - Initialisation - Product;no
9263;IAD000000000000000;Product family;Not relevant;Not relevant;Not relevant;10742;Adhesive and cleaner;;;;no
10568;ICT000000000000000;Product family;Not relevant;Not relevant;Not relevant;10742;ArmaComfort;;;;no
10481;C0C000000000000000;Product family;Not relevant;Not relevant;Not relevant;10742;ArmaComp;;;;no
33642;E0C000000000000000;Product family;Not relevant;Not relevant;Not relevant;10742;ArmaComp;;;;no
37915;F0C000000000000000;Product family;Not relevant;Not relevant;Not relevant;10742;ArmaComp;;;;no
9046;IFI000000000000000;Product family;Not relevant;Not relevant;Not relevant;10742;ArmaFix;;;;no
19797;LFI000000000000000;Product family;Not relevant;Not relevant;Not relevant;10742;ArmaFix;;;;no
8021;I0F000000000000000;Product family;Not relevant;Not relevant;Not relevant;10742;ArmaFlex;;;;no
20042;O0F000000000000000;Product family;Not relevant;Not relevant;Not relevant;10742;ArmaFlex;;;;no
20043;L0F000000000000000;Product family;Not relevant;Not relevant;Not relevant;10742;ArmaFlex;;;;no
11654;I0G000000000000000;Product family;Not relevant;Not relevant;Not relevant;10742;ArmaGel;;;;no
10574;I0L000000000000000;Product family;Not relevant;Not relevant;Not relevant;10742;ArmaLight;;;;no
20045;O0L000000000000000;Product family;Not relevant;Not relevant;Not relevant;10742;ArmaLight;;;;no
30663;L0L000000000000000;Product family;Not relevant;Not relevant;Not relevant;10742;ArmaLight;;;;no
20044;I0W000000000000000;Product family;Not relevant;Not relevant;Not relevant;10742;ArmaWool;;;;no
18460;IPR000000000000000;Product family;Not relevant;Not relevant;Not relevant;10742;ArmaProtect;;;;no
9267;I0S000000000000000;Product family;Not relevant;Not relevant;Not relevant;10742;ArmaSound;;;;no
7954;ICL000000000000000;Product family;Not relevant;Not relevant;Not relevant;10742;ArmaClad;;;;no
18466;ISF000000000000000;Product family;Not relevant;Not relevant;Not relevant;10742;Secondary FEF;;;;no
20047;OSF000000000000000;Product family;Not relevant;Not relevant;Not relevant;10742;Secondary FEF;;;;no
19539;LSF000000000000000;Product family;Not relevant;Not relevant;Not relevant;10742;Secondary FEF;;;;no
33307;P0P000000000000000;Product family;Not relevant;Not relevant;Not relevant;10742;ArmaPET;;;;no
35308;ISW000000000000000;Product family;Not relevant;Not relevant;Not relevant;10742;Secondary mineral wool;;;;no
36412;ISP000000000000000;Product family;Not relevant;Not relevant;Not relevant;10742;Secondary PE;;;;no
41296;LSP000000000000000;Product family;Not relevant;Not relevant;Not relevant;10742;Secondary PE;;;;no
45924;ISU000000000000000;Product family;Not relevant;Not relevant;Not relevant;10742;Secondary Polyurethane;;;;no
799370;IGL;Product family;;;;10742;Test Family;;;Product Workflow 2.0 - Initialisation - Product;no
800120;;Segment;Not relevant;Not relevant;Not relevant;10742;AI-Armacell branded;;;Product Workflow 2.0 - Initialisation - Product;no
800116;;Segment;Not relevant;Not relevant;Not relevant;10742;AI-OEM;;;Product Workflow 2.0 - Initialisation - Product;no
800118;;Segment;Not relevant;Not relevant;Not relevant;10742;AI-Private label;;;Product Workflow 2.0 - Initialisation - Product;no
800135;;Segment;Not relevant;Not relevant;Not relevant;10742;EF-Component Foams;;;Product Workflow 2.0 - Initialisation - Product;no
800142;;Segment;Not relevant;Not relevant;Not relevant;10742;EF - Component Foams - Private label;;;Product Workflow 2.0 - Initialisation - Product;no
800141;;Segment;Not relevant;Not relevant;Not relevant;10742;EF - PET - Armacell branded;;;Product Workflow 2.0 - Initialisation - Product;no
800156;IAPAL19500001;Item;;;;10742;;IAPAL19500001;;Product Workflow 2.0 - Initialisation - Item;no
800157;IALUTAPE12100;Item;;;;10742;;IALUTAPE12100;;Product Workflow 2.0 - Initialisation - Item;no
