id;pdmid;externalkey;parentid;exist
1;48523;ICT042TT00010BM020;48522;no
2;46270;I0C262TT00010BM005;46269;no
3;46271;I0C262TT00010BM010;46269;no
4;800060;C0C171TT0C04PCM025;800059;no
5;800062;C0C171TT0C04PYM025;800061;no
6;800064;C0C171TT0C04PNM025;800063;no
7;800066;C0C171TT0C04PRM025;800065;no
8;800068;C0C171TTO0040GM015;800067;no
9;800070;C0C171TCO0040GM015;800069;no
10;48529;C0C651TT0C04PWM010;48528;no
11;48532;C0C654TT0C04PBM010;48531;no
12;48534;C0C654TTOC04PBM010;48533;no
13;48945;C0C647DR00XP0EI112;48944;no
14;48946;C0C647DR00XP0EI200;48944;no
15;48947;C0C647DL00XP0EI038;48943;no
16;48948;C0C647DL00XP0EI012;48943;no
17;48949;C0C647DL00XP0EI058;48943;no
18;48951;C0C647DL00XP0EI034;48943;no
19;48950;C0C647DL00XP0EI078;48943;no
20;48952;C0C647DL00XP0EI100;48943;no
21;48953;C0C647DL00XP0EI114;48943;no
22;48966;C0C649DL00PU0BI038;48965;no
23;48967;C0C649DL00PU0BI058;48965;no
24;48968;C0C649DL00PU0BI078;48965;no
25;48970;C0C649DL00PU0BI118;48965;no
26;48969;C0C649DL00PU0BI112;48965;no
27;48971;C0C649DL00PU0BI200;48965;no
28;48979;C0C648DR00BP0GI112;48973;no
29;48980;C0C648DR00BP0GI200;48973;no
30;48981;C0C648DR00BP0GI212;48973;no
31;48982;C0C648DR00BP0GI300;48973;no
32;48983;C0C648DR00BP0GI400;48973;no
33;48975;C0C648DL00BP0GI038;48974;no
34;48976;C0C648DL00BP0GI058;48974;no
35;48977;C0C648DL00BP0GI078;48974;no
36;48978;C0C648DL00BP0GI118;48974;no
37;48986;C0C646DR00040GI112;48985;no
38;48987;C0C646DR00040GI200;48985;no
39;48989;C0C646DR00040WI212;48988;no
40;48990;C0C646DR00040WI300;48988;no
41;48991;C0C646DR00040WI400;48988;no
42;48992;C0C646DR00040WI500;48988;no
43;48993;C0C646DR00040WI600;48988;no
44;49000;C0C646DL00040GI014;48994;no
45;48996;C0C646DL00040GI038;48994;no
46;48998;C0C646DL00040GI012;48994;no
47;48997;C0C646DL00040GI058;48994;no
48;48995;C0C646DL00040GI034;48994;no
49;48999;C0C646DL00040GI078;48994;no
50;49001;C0C646DL00040GI100;48994;no
51;49002;C0C646DL00040GI114;48994;no
52;49007;C0C461TTO0040BM019;49006;no
53;49009;C0C461TTO0040CM019;49008;no
54;49011;C0C461TTO0040NM019;49010;no
55;49013;C0C461TTO0040GM019;49012;no
56;49015;C0C461TTO0040LM019;49014;no
57;49017;C0C461TTO0040UM019;49016;no
58;49019;C0C461TTO0040RM019;49018;no
59;49021;C0C461TTO0040YM019;49020;no
60;800402;C0C655TC00040GM010;800401;no
61;13173;IFI063O9UC018BMAF2;13172;yes
62;13178;IFI063O9UC018BMA43;13172;yes
63;13179;IFI063O9UC018BMAF6;13172;yes
64;13181;IFI063OOU0018BMAF2;13180;yes
65;13182;IFI063OOU0018BMA43;13180;yes
66;13233;IFI063OOU0018BMAF6;13180;yes
67;48920;IFI346OOS0PR0WM057;13284;no
68;48921;IFI346OOS0PR0WM082;13284;no
69;48922;IFI346OOS0PR0WM108;13284;no
70;48923;IFI346OOS0PR0WM133;13284;no
71;48924;IFI346OOS0PR0WM159;13284;no
72;48925;IFI346OOS0PR0WM204;13284;no
73;799269;IFI346OOS0PR0WM209;13284;no
74;48926;IFI346OOS0PR0BM057;15960;no
75;48927;IFI346OOS0PR0BM082;15960;no
76;48928;IFI346OOS0PR0BM108;15960;no
77;48929;IFI346OOS0PR0BM133;15960;no
78;48930;IFI346OOS0PR0BM159;15960;no
79;48931;IFI346OOS0PR0BM204;15960;no
80;799270;IFI346OOS0PR0BM209;15960;no
81;48932;IFI347OOS0PR0GM060;16003;no
82;48933;IFI347OOS0PR0GM088;16003;no
83;48934;IFI347OOS0PR0GM114;16003;no
84;48935;IFI347OOS0PR0GM140;16003;no
85;48936;IFI347OOS0PR0GM165;16003;no
86;48937;IFI347OOS0PR0GM219;16003;no
87;49026;IFI347OOS0PR0GM271;16003;no
88;49027;IFI347OOS0PR0GM321;16003;no
89;37824;IFI067OOUZ01UBM013;37822;no
90;37825;IFI067OOUZ01UBM019;37822;no
91;37826;IFI067OOUZ01UBM025;37822;no
92;37827;IFI067OOUZ01UBM030;37822;no
93;37828;IFI067OOUZ01UBM032;37822;no
94;37829;IFI067OOUZ01UBM040;37822;no
95;37830;IFI067OOUZ01UBM050;37822;no
96;37831;IFI067OOUZ01UBM060;37822;no
97;37832;IFI067OOUZ01UBM065;37822;no
